P1,P2,P3,P4,P5,W,,,,,,,,,,,,
85,75,60,50,111,401,,,,,,,,,,,,
225.5,30,45,424,111,415.5,,,,,,,,,,,,
198.5,25,25,467,101,462.5,,,,,,,,,,,,
182.5,60,35,169,101.5,429,,,,,,,,,,,,
217.5,85,75,26,103,384.5,,,,,,,,,,,,
176.5,45,35,453,133,380.5,,,,,,,,,,,,
351,80,35,464.5,118,419,,,,,,,,,,,,
339,70,40,486,124.5,462,,,,,,,,,,,,
266.5,60,35,488.5,105,412,,,,,,,,,,,,
226,80,65,457,122,414.5,,,,,,,,,,,,
322.5,70,30,493,122.5,435.5,,,,,,,,,,,,
310,105,60,42.5,82.5,320.5,,,,,,,,,,,,
337.5,70,35,11.5,95.5,334.5,,,,,,,,,,,,
303.5,95,60,22,113.5,344.5,,,,,,,,,,,,
346.5,110,25,14,93.5,308.5,,,,,,,,,,,,
363,90,10,121,106,341.5,,,,,,,,,,,,
170,85,40,16.5,100,358.5,,,,,,,,,,,,
97,130,140,60.5,101,278.5,,,,,,,,,,,,
76,155,100,11,54,271.5,,,,,,,,,,,,
365,95,45,14,100,325.5,,,,,,,,,,,,
299,110,50,26,90,327.5,,,,,,,,,,,,
275.5,70,15,22.5,112,325,,,,,,,,,,,,
254.5,110,60,75.5,83.5,283,,,,,,,,,,,,
270.5,100,30,21,76.5,287,,,,,,,,,,,,
356,60,5,12,105,362.5,,,,,,,,,,,,
290.5,70,40,26,119,371,,,,,,,,,,,,
317.5,30,15,13,90,360,,,,,,,,,,,,
304,80,50,38.5,81.5,302.5,,,,,,,,,,,,
134,125,95,92.5,104.5,291.5,,,,,,,,,,,,
247.5,75,40,30.5,112.5,327,,,,,,,,,,,,
429.5,15,10,498.5,75.5,377.5,,,,,,,,,,,,
424.5,35,30,498.5,99,346.5,,,,,,,,,,,,
448.5,25,10,500,91.5,386.5,,,,,,,,,,,,
391,60,30,495,97,352.5,,,,,,,,,,,,
324.5,35,15,491,101,397,,,,,,,,,,,,
379.5,45,45,495.5,89,325,,,,,,,,,,,,
423,15,15,497.5,81.5,461,,,,,,,,,,,,
315.5,65,65,484,90.5,396.5,,,,,,,,,,,,
192,130,60,28,101.5,352,,,,,,,,,,,,
38.5,145,55,69,102.5,328.5,,,,,,,,,,,,
83.5,110,65,56,94.5,363.5,,,,,,,,,,,,
88,175,160,84.5,115,322,,,,,,,,,,,,
188,75,35,25,100,388,,,,,,,,,,,,
93.5,125,35,43,97.5,338,,,,,,,,,,,,
6,185,265,211.5,90,175,,,,,,,,,,,,
233,80,145,252,91,223.5,,,,,,,,,,,,
138.5,110,145,291.5,96.5,214,,,,,,,,,,,,
